,GeneName,Slope,P-value,FDR
0,DDX11L1,-0.08163931414535978,0.28289434069918357,0.678042228890979
1,WASH7P,-0.007119077681314825,0.90035030025747,1.0
2,MIR6859-1,-0.01868804631708263,0.17706545153241124,0.5464967076203422
3,MIR1302-2HG,-0.042486831276958834,0.23720364420207585,0.6267686068013262
4,FAM138A,-0.03197574667932686,0.36935735143042714,0.7476993670012563
5,OR4G4P,-0.07787807951838693,0.07576167768470915,0.3668978910356555
6,OR4G11P,-0.09367032998486491,0.0764725623904042,0.36823852050523187
7,OR4F5,-0.1290976283801865,0.02958667483110973,0.21730032501361699
8,RP11-34P13.7,0.35369373244395075,0.009480668173733246,0.11106573896822242
9,CICP27,0.39291229348622664,0.0014632079779734162,0.03697230629374938
10,RP11-34P13.15,0.14949826025667945,0.06926320522782152,0.3497240935809501
11,RP11-34P13.16,0.13556281756894714,0.08464441147184147,0.38779017380587194
12,RP11-34P13.14,0.2546764852775896,0.017782304061033434,0.16143133981860214
13,RP11-34P13.13,-0.06975473017694736,0.4107378752822649,0.7798891105324325
14,RNU6-1100P,0.009586238772638776,0.6096040470126154,0.8805732314056227
15,RP11-34P13.9,0.05200682514186056,0.08151847978360466,0.38073496210176794
16,ABC7-43046700E7.1,-0.07459124786860906,0.5214027563276015,0.8298342960388899
17,RP11-34P13.18,-0.0824518976514881,0.09576485315131911,0.4138363700812802
18,MIR6859-2,-0.0021006181434651454,0.8380368625616692,0.9909049529708059
19,AP006222.2,0.20352549144451357,0.07410800578666055,0.3629736454248495
20,RPL23AP24,0.06386784053871403,0.3508780677515746,0.7322575737539371
21,RP5-857K21.15,0.0018109666050920396,0.9145204744439728,1.0
22,RP4-669L17.2,-0.07160094590311278,0.03662093260093367,0.2449495817128393
23,RP4-669L17.10,0.018269834618094012,0.801866295691021,0.9761413534894333
24,WBP1LP7,0.04109231234243316,0.32720047315814893,0.7132742974343995
25,OR4F29,0.02062690906155304,0.7117575536447511,0.9340449127061119
26,CICP7,0.05823228067237975,0.371338646329184,0.7490437252587501
27,RP4-669L17.8,0.06411024177984284,0.6125983070655251,0.8824234618148539
28,U6,0.08369198933212427,0.011762177213090995,0.12601801561035905
29,RP5-857K21.4,-0.034244290190234304,0.6445048119487176,0.8997399566573081
30,RP5-857K21.2,-0.013175114715640288,0.27165974703598156,0.6654457073201276
31,MTND1P23,0.030599028401386955,0.862140123721503,1.0
32,MTND2P28,-0.10345628900604302,0.23040181336674492,0.6198243628501128
33,MTCO1P12,-0.17534705200751313,0.09360305651382884,0.4093569832664054
34,MTCO2P12,-0.19406812633258755,0.03547218597923889,0.24103639740498833
35,MTATP8P1,-0.10497154679545972,0.3029769554675305,0.6977666954171104
36,MTATP6P1,-0.17872388309283946,0.015371267749721328,0.14865336563202597
37,MTCO3P12,-0.18195655928983082,0.07611707709109726,0.36744039902353715
38,WBP1LP6,-0.06278182641289104,0.04863343951832745,0.2882419639761733
39,OR4F16,-0.02327453113609031,0.6225336015023162,0.8883183453496843
40,RP11-206L10.17,0.0,,1.0
41,CICP3,0.12111501893484383,0.1330325284604764,0.49214012290535525
42,RP11-206L10.2,0.004946777857220957,0.9381307249346387,1.0
43,RNU6-1199P,0.029750307058822104,0.07557621289664394,0.36654731827057446
44,RP11-206L10.4,0.040110901732085265,0.35703009905124816,0.7367474778336947
45,RP11-206L10.9,0.18426063751989424,0.011602679919065242,0.1252139662834874
46,RP11-206L10.8,0.08542393835188122,0.3005110285653497,0.6949586005058658
47,FAM87B,0.037332414087844545,0.6533684846696229,0.9045391503330728
48,LINC01128,-0.07318739238145916,0.2509819585953312,0.6406756861559605
49,LINC00115,-0.09492268140954842,0.1957630781140773,0.5746678475239936
50,FAM41C,0.0249618586500849,0.751622714533836,0.9536590674990862
51,TUBB8P11,-0.047592607283879235,0.5500572544223843,0.8467646347454901
52,FAM166AP3,0.0008562949576786183,0.982532388524704,1.0
53,RP11-54O7.16,-0.02969399004034092,0.5673150827636806,0.8570640081424301
54,RP11-54O7.1,0.05442169785412684,0.5086037665401582,0.8218107520080342
55,RP11-54O7.2,-0.008543406608525936,0.17120278309999912,0.5377928727196704
56,RP11-54O7.3,0.006309179926183624,0.9349737304134311,1.0
57,SAMD11,-0.079090739068945,0.3779369737219228,0.7537418527145483
58,NOC2L,-0.14984173299116518,0.0005408106038234074,0.02024961075715189
59,KLHL17,-0.1528888834070531,0.010690160729816413,0.11922313678491064
60,PLEKHN1,-0.21814354942083086,0.0006455984463196588,0.022334924196123457
61,PERM1,-0.13417639564573353,0.20204898483739098,0.5846943111711025
62,RP11-54O7.17,-0.20460824170992314,0.1446326569946538,0.5136279078393975
63,HES4,-0.445706465158733,0.006412669352004705,0.0875201113161602
64,ISG15,-0.11873693228575687,0.2707622659726621,0.6648117776140949
65,RP11-54O7.10,0.019602100741301816,0.37671646819891813,0.7527335338204618
66,RP11-54O7.11,0.018467635955427237,0.6884180395472316,0.9229643547815636
67,AGRN,0.0268920262800642,0.727480789286723,0.9423778859772864
68,RP11-465B22.3,-0.09037536105153827,0.265264265223188,0.6591117924286258
69,RP11-54O7.18,-0.05993983178980083,0.42718451126016976,0.7931768369974963
70,RNF223,-0.04844387600477174,0.5523781873747924,0.848277870127561
71,C1orf159,-0.20940557974384494,0.0005673604344645864,0.02074570719242512
72,LINC01342,0.2753266017344791,0.02936172848207028,0.2162303360708459
73,MIR200B,0.042808858890104155,0.014504017794892531,0.14380736277856393
74,MIR200A,0.010591392452807009,0.5442539844188741,0.8433936108715879
75,MIR429,-0.0027982455647942244,0.8795021995775343,1.0
76,RP11-465B22.8,0.05003361139697773,0.5407817502051945,0.8409032152653003
77,TTLL10-AS1,-0.024374256161373304,0.7622857146862654,0.9589966754886067
78,TTLL10,-0.20689745209006494,0.021576117149620495,0.17971741897472676
79,TNFRSF18,-0.27881271913412503,0.03345468657855841,0.23322943584605715
80,TNFRSF4,-0.3117313761896101,0.013892342003580867,0.14021395812860393
81,SDF4,-0.08036739040242523,0.0009910066946444355,0.028838506116220162
82,B3GALT6,0.01240921007614835,0.8571434769292177,0.9986379130657074
83,C1QTNF12,-0.06421894845602621,0.3675663014673741,0.7461765405959724
84,RP5-902P8.12,0.005346720458700234,0.945308383966697,1.0
85,UBE2J2,0.03786159670177042,0.4453028756586669,0.800266506990466
86,LINC01786,-0.20177911356953157,0.020689627359269627,0.1752815256530439
87,SCNN1D,-0.1983799596585423,0.014182919730345859,0.14195162119319044
88,ACAP3,-0.16133856030986127,0.00018974535374797038,0.011055046266605336
89,MIR6726,-0.022060195171453606,0.24707855245684193,0.6365610687601163
90,PUSL1,-0.10241389005911208,0.013273735209621808,0.13631297076066098
91,INTS11,-0.13544054547892578,5.2630514090353006e-05,0.005454992102088241
92,MIR6727,0.0040476790773166255,0.8102200179490084,0.9799395444950322
93,RP5-890O3.9,-0.1694918066140246,0.002895387673520736,0.05483528419420083
94,CPTP,-0.0006284146365571621,0.9920052487162282,1.0
95,TAS1R3,0.10310323035896878,0.07336280611474615,0.3613114402112342
96,DVL1,-0.14520857308742782,0.0002581788550198829,0.013309254063499006
97,MIR6808,0.004930229321842553,0.6919115904524493,0.925022129892367
98,MXRA8,-0.18795486969025807,0.010927498019688606,0.12056466691407446
99,AURKAIP1,0.03029051386497366,0.5686446567916285,0.857532461152834
100,NDUFB4P8,-0.04337869601713455,0.5345335848646018,0.837529047369248
101,CCNL2,-0.025202855746245943,0.3582933344791891,0.7378115740967316
102,RP4-758J18.2,0.041499528113272434,0.3867605499217761,0.7609757060956391
103,MRPL20,-0.048971492851942716,0.09294681738071728,0.40783653470997583
104,RP4-758J18.13,0.15731583007369662,0.11301929605334804,0.4520109457981228
105,ANKRD65,-0.0779787949464323,0.4206163715488932,0.7880530220192593
106,RP4-758J18.7,0.006592517571695957,0.8447973037118712,0.9936051017803877
107,TMEM88B,-0.006355585966545927,0.9172172615182173,1.0
108,LINC01770,-0.01693249683083213,0.8049276952612188,0.9777003367671393
109,VWA1,-0.05667567933120533,0.5422815058206335,0.8422017002577458
110,ATAD3C,-0.17573917230061167,0.04223930276417306,0.26732750549499895
111,ATAD3B,-0.21214251722958372,0.0017130518499403095,0.040344662032761595
112,ATAD3A,-0.12290275977884109,0.023779128809229947,0.1899697012671365
113,TMEM240,0.09591714566448797,0.37612367978201355,0.7523329975288717
114,SSU72,0.02922405059677794,0.46820099382824065,0.800266506990466
115,RP5-832C2.5,0.17187230853858082,0.06470198632505872,0.33646512073324497
116,RP11-345P4.11,-0.035216496238800916,0.40711867075575636,0.7770311671467417
117,FNDC10,-0.09027678018705174,0.11206850012988256,0.44999543510330153
118,RP11-345P4.9,-0.1303374115021949,0.0009889332577378174,0.02881795221658784
119,MIB2,-0.18144006718934233,0.0011580803468404161,0.03184983490917481
120,MMP23B,-0.5448734500694896,0.00018328354756666775,0.010822909950718903
121,CDK11B,-0.061250087914297355,0.0716161870317137,0.3566567125009409
122,RP11-345P4.10,-0.0035772997024804683,0.9053133303704065,1.0
123,SLC35E2B,0.1384706961713584,0.0008411864607647234,0.026143364622463642
124,RP11-345P4.6,0.0786891198674442,0.34525319364678886,0.7273874014960442
125,MMP23A,0.20219130619402695,0.2547359537277419,0.6457088166733816
126,CDK11A,-0.0038562812253102015,0.9340678082921172,1.0
127,RP1-283E3.4,0.03568149687277648,0.6504360556241412,0.9029347437845143
128,SLC35E2,0.09804930693891331,0.04342641787561193,0.27134428346862843
129,NADK,0.16903331707515742,0.00873455191731764,0.1057053110774118
130,GNB1,-0.0371557385355773,0.17517803375201782,0.5438648327223702
131,RP1-140A9.1,-0.15717598208422767,0.08851246054234162,0.39786090777336425
132,CALML6,-0.09565643604918596,0.4073703129097789,0.7773483911486123
133,TMEM52,-0.10487580231206858,0.41296209308622556,0.781467244681028
134,CFAP74,0.049107964877503414,0.5970056116627187,0.8735676450350537
135,RP11-547D24.1,0.013675130521971989,0.8291397499652245,0.9868038089219487
136,GABRD,-0.02911792308035518,0.8040928770953716,0.9772274459077251
137,RP11-547D24.3,0.001972435702233405,0.9296323778344184,1.0
138,PRKCZ,0.09447681940473131,0.1398263092844133,0.504171017571188
139,RP5-892K4.1,0.27714758064701434,0.011440252096354513,0.1241149130453469
140,PRKCZ-AS1,0.11581412330701893,0.12037355191132641,0.4666470720652274
141,FAAP20,-0.04228504851108419,0.33351217017511403,0.7183420024540292
142,RP11-181G12.4,-0.05329504959233983,0.09610910964307097,0.4145177605412006
143,SKI,0.013690252079426793,0.8071299855035063,0.9786300269928558
144,MORN1,-0.01044030988745353,0.8435856382315966,0.9930726197869241
145,RP4-713A8.1,0.028285765868115098,0.7076192560732792,0.931935159035303
146,RP4-740C4.5,0.06145995266946237,0.46620500671689913,0.800266506990466
147,RP4-740C4.7,0.06803687227771793,0.4536584990208262,0.800266506990466
148,RER1,0.10913533266473661,0.044110759767768605,0.2740207780202576
149,PEX10,-0.14064403989747348,0.00026855645778608436,0.013549939134434304
150,PLCH2,-0.3862207638728652,0.002333648871380232,0.048074927994864014
151,RP3-395M20.2,-0.356639763029835,6.957044439554678e-05,0.006393246292808601
152,RP3-395M20.3,-0.14941742642882064,0.09498671943441457,0.41236699700704255
